State,Pct_Women
Alabama,51.60
Alaska,47.90
Arizona,50.30
Arkansas,50.90
California,50.30
Colorado,49.60
Connecticut,51.20
Delaware,51.60
District of Columbia,52.60
Florida,51.10
Georgai,51.40
Hawaii,49.90
Idaho,49.90
Illinois,50.90
Indiana,50.70
Iowa,50.20
Kansas,50.20
Kentucky,50.70
Louisiana,51.20
Maine,51.00
Maryland,51.50
Massachusetts,51.50
Michigan,50.80
Minnesota,50.20
Mississippi,51.50
Missouri,50.90
Montana,49.70
Nebraska,50.10
Nevada,49.90
New Hampshire,50.40
New Jersey,51.10
New Mexico,50.50
New York,51.40
North Carolina,51.40
North Dakota,48.80
Ohio,51.00
Oklahoma,50.50
Oregon,50.40
Pennsylvania,51.00
Rhode Island,51.40
South Carolina,51.50
South Dakota,49.50
Tennessee,51.20
Texas,50.30
Utah,49.60
Vermont,50.60
Virginia,50.80
Washington,50.00
West Virginia,50.50
Wisconsin,50.20
Wyoming,49.00
