Rank,Major_code,Major,Major_category,Total,Men,Women,Median
1,2419,PETROLEUM ENGINEERING,Engineering,2339,2057,282,110000
2,2416,MINING AND MINERAL ENGINEERING,Engineering,756,679,77,75000
3,2415,METALLURGICAL ENGINEERING,Engineering,856,725,131,73000
4,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,1258,1123,135,70000
5,2418,NUCLEAR ENGINEERING,Engineering,2573,2200,373,65000
6,2405,CHEMICAL ENGINEERING,Engineering,32260,21239,11021,65000
7,5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,1792,832,960,62000
8,2414,MECHANICAL ENGINEERING,Engineering,91227,80320,10907,60000
9,2401,AEROSPACE ENGINEERING,Engineering,15058,12953,2105,60000
10,2408,ELECTRICAL ENGINEERING,Engineering,81527,65511,16016,60000
11,2407,COMPUTER ENGINEERING,Engineering,41542,33258,8284,60000
12,5008,MATERIALS SCIENCE,Engineering,4279,2949,1330,60000
13,2404,BIOMEDICAL ENGINEERING,Engineering,14955,8407,6548,60000
14,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,4321,3526,795,58000
15,2402,BIOLOGICAL ENGINEERING,Engineering,8925,6062,2863,57100
16,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,18968,12453,6515,57000
17,2400,GENERAL ENGINEERING,Engineering,61152,45683,15469,56000
18,2403,ARCHITECTURAL ENGINEERING,Engineering,2825,1835,990,54000
19,2102,COMPUTER SCIENCE,Computers & Mathematics,128319,99743,28576,53000
20,2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,11565,8181,3384,52000
21,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,2993,2020,973,52000
22,2499,MISCELLANEOUS ENGINEERING,Engineering,9133,7398,1735,50000
23,2406,CIVIL ENGINEERING,Engineering,53153,41081,12072,50000
24,2500,ENGINEERING TECHNOLOGIES,Engineering,3600,2695,905,50000
25,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,720,488,232,50000
26,2410,ENVIRONMENTAL ENGINEERING,Engineering,4047,2662,1385,50000
27,6107,NURSING,Health,209394,21773,187621,48000
28,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,4631,3477,1154,46000
29,5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,2116,528,1588,46000
30,2105,INFORMATION SCIENCES,Computers & Mathematics,11913,9005,2908,45000
31,2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,36698,27392,9306,45000
32,5007,PHYSICS,Physical Sciences,32142,23080,9062,45000
33,3701,APPLIED MATHEMATICS,Computers & Mathematics,4939,2794,2145,45000
34,3700,MATHEMATICS,Computers & Mathematics,72397,39956,32441,45000
35,3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,6251,2960,3291,45000
36,3607,PHARMACOLOGY,Biology & Life Science,1762,515,1247,45000
37,6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health,15914,3916,11998,45000
38,5006,OCEANOGRAPHY,Physical Sciences,2418,752,1666,44700
39,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,2906,2400,506,44000
40,4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,609,500,109,42000
41,6104,MEDICAL ASSISTING SERVICES,Health,11123,803,10320,42000
42,2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,4168,3046,1122,41300
43,4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,3831,1667,2164,41000
44,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,4790,4419,371,40000
45,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,8804,7043,1761,40000
46,5000,PHYSICAL SCIENCES,Physical Sciences,1436,894,542,40000
47,1401,ARCHITECTURE,Engineering,46420,25463,20957,40000
48,3605,GENETICS,Biology & Life Science,3635,1761,1874,40000
49,3603,MOLECULAR BIOLOGY,Biology & Life Science,18300,7426,10874,40000
50,6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,23551,8697,14854,40000
51,5003,CHEMISTRY,Physical Sciences,66530,32923,33607,39000
52,3606,MICROBIOLOGY,Biology & Life Science,15232,6383,8849,38000
53,2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,8066,6607,1459,37500
54,3601,BIOCHEMICAL SCIENCES,Biology & Life Science,39107,18951,20156,37400
55,3602,BOTANY,Biology & Life Science,1329,626,703,37000
56,2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,7613,5291,2322,36400
57,5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences,10972,5813,5159,36200
58,5005,GEOSCIENCES,Physical Sciences,1978,809,1169,36000
59,6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,13386,1589,11797,36000
60,1301,ENVIRONMENTAL SCIENCE,Biology & Life Science,25965,10787,15178,35600
61,5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,4043,2744,1299,35000
62,2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,18035,11431,6604,35000
63,5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,62052,27015,35037,35000
64,3608,PHYSIOLOGY,Biology & Life Science,22060,8422,13638,35000
65,3611,NEUROSCIENCE,Biology & Life Science,13663,4944,8719,35000
66,6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,18109,4266,13843,35000
67,4002,NUTRITION SCIENCES,Health,18909,2563,16346,35000
68,6110,COMMUNITY AND PUBLIC HEALTH,Health,19735,4103,15632,34000
69,3699,MISCELLANEOUS BIOLOGY,Biology & Life Science,10706,4747,5959,33500
70,6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,12740,5521,7219,33500
71,3600,BIOLOGY,Biology & Life Science,280709,111762,168947,33400
72,3604,ECOLOGY,Biology & Life Science,9154,3878,5276,33000
73,6109,TREATMENT THERAPY PROFESSIONS,Health,48491,13487,35004,33000
74,6100,GENERAL MEDICAL AND HEALTH SERVICES,Health,33599,7574,26025,32400
75,6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,38279,1225,37054,28000
76,3609,ZOOLOGY,Biology & Life Science,8409,3050,5359,26000
